name,avatar,description,education,affiliation,specialty,locations,website
"Brooke Aber, PA",https://www.bassmedicalgroup.com/wp-content/uploads/2018/10/HeadshotComingSoon1-1-e1544036775847.jpg,Coming Soon,,,"Physician Assistant, Pain Medicine","Pleasant Hill 2250 Morello Avenue Pleasant Hill, CA 94523 Ph: 925-287-1256 Fx: 925-287-0913",www.painmedicineconsultants.com
"Orlando Chavez, DPM",https://www.bassmedicalgroup.com/wp-content/uploads/2018/10/HeadshotComingSoon1-1-e1544036775847.jpg,Bio Coming SoonMedical School:California College of Podiatric Medicine  Samuel Merritt University in OaklandResidency:Southern California Podiatric Medicine Center,"Medical School:California College of Podiatric Medicine  Samuel Merritt University in Oakland, Residency:Southern California Podiatric Medicine Center",,Podiatry,"Napa 3443 Villa Lane Suite 5 Napa, CA 94558 Ph: 707-226-2031 Fx: 707-927-1705",
"Diana Caudillo, FNP-C",https://www.bassmedicalgroup.com/wp-content/uploads/2018/09/Diana-Caudillo-NP-e1540425838526.jpg,"South Valley Vascular Associates welcomes Nurse Practitioner Diana Caudillo. Diana is board certified by the American Association of Nurse Practitioners and joined the practice in June 2018.Born and raised in Tulare County, Diana graduated from the College of Sequoias Nursing program and began her career working on Medical-Surgical units, eventually developing a passion for critical care. She worked the latter part of her nursing career in the Intensive Care setting. While working as a full-time Registered Nurse, Diana obtained her Masters degree in Nursing from Walden University in 2017. Prior to joining South Valley Vascular team, she worked at a local Urgent Care facility.Diana understands the unique health disparities impacting our community and is committed to providing the best health care possible. She believes in the importance of working collaboratively with her patients, to establish a treatment plan that best meets their individual health care needs. Diana looks forward to creating trusting relationships with patients and customers at South Valley Vascular.Masters Degree: NursingWalden Universityin Minneapolis, Minnesota","Masters Degree: NursingWalden Universityin Minneapolis, Minnesota",,"Nurse Practitioner, Vascular Surgery","Visalia 820 S. Akers Street Suite 120 Visalia, CA 93277 Ph: 559-625-4118 Fx: 559-625-6004",www.southvalleyvascular.com
"Margaret S. Carter, MD",https://www.bassmedicalgroup.com/wp-content/uploads/2018/09/Dr.-Margaret-Carter-Otolaryngologist.jpg,"Dr. Margaret Carter is a board certified otolaryngologist, head and neck surgeon, specializing in the medical and surgical treatment of adult and pediatricENT disorders.Dr. Carter joinedCamino Ear, Nose & Throat Clinicin 2015 after completing her residency at the Combined Program of Harvard Medical School/Massachusetts Eye And Ear Infirmary.Prior to her residency atHarvard, Dr. Carter attended college atGeorgetown University, where she received her Bachelor of Science magna cum laude and was elected into the Phi Beta Kappa honor society.Dr. Carter obtained her medical degree fromLoyola University of Chicago Stritch School of Medicine, graduating cum laude and being inducted into Alpha Omega Alpha medical honor society. Dr. Carter completed her surgical internship at theUniversity of Washington.Dr. Carter is a native of Santa Clara, California. She was born at Good Samaritan Hospital in San Jose and is incredibly excited to return home and serve the community in which she was born and raised.Dr. Carter is currently accepting adult and pediatric patients at our San Jose location and will begin seeing patients at our Morgan Hill location in January 2017.Medical School:Loyola University Stritch School of Medicine in Maywood, IllinoisInternship:University of Washington in SeattleResidency:Harvard Medical School/Massachusetts Eye And Ear Infirmary in BostonUCSF Benioff Childrens HospitalStanford Hospital and Clinics","Medical School:Loyola University Stritch School of Medicine in Maywood, Illinois, Internship:University of Washington in Seattle, Residency:Harvard Medical School/Massachusetts Eye And Ear Infirmary in Boston","UCSF Benioff Childrens Hospital, Stanford Hospital and Clinics",Otolaryngology (ENT),"San Jose 6060 Hellyer Avenue Suite 150 San Jose, CA 95138 Ph: 408-227-6300 Fx: 408-227-6341 | San Jose 2505 Samaritan Drive Suite 510 San Jose, CA 95124 Ph: 408-358-6163 Fx: 408-358-0223 | Morgan Hill 16130 Juan Hernandez Drive Suite 108 Morgan Hill, CA 95037 Ph: 408-358-6163 Fx: 408-465-2564",www.caminoent.com
"Michael L. Cohen, MD",https://www.bassmedicalgroup.com/wp-content/uploads/2018/09/Dr.-Michael-Cohen.jpg,"Dr. Michael Cohen earned his bachelors degree in psychology from Dartmouth College in Hanover, New Hampshire. Dr. Cohen then received his medical degree from the University of Cincinnati College of Medicine in Cincinnati, Ohio. He completed his residency at both Boston City Hospital and Bostons Veteran Administration in internal medicine and his postdoctoral fellowship in pulmonary disease at Boston City Hospital.In 1974, Dr. Cohen relocated to Contra Costa County where he continued his practice in respiratory care andpulmonology. Dr. Cohen was the Medical Director of the Pulmonary Services and Respiratory Therapy Department at John Muir Medical Center in Walnut Creek from 1974  2004. Dr. Cohen has been a member and has served on committees for the following organizations: California Thoracic Society, California Sleep Society, National Association of Medical Directors of Respiratory Care, California Medical Association, American Medical Association and the Alameda-Contra Costa Medical Association.Dr. Cohen founded the Respiratory Medical Group in 1974. The group joined BASS in early 2015. Dr. Cohen is currently the Medical Director of theContra Costa Sleep Centerin Walnut Creek.Medical School:University of Cincinnati College of Medicine in OhioInternship:(Tufts)Boston City Hospital inMassachusettsResidency:(Tufts)Boston City Hospital in Massachusettsand Bostons Veteran Administration in MassachusettsFellowship:(Tufts)Boston City Hospital inMassachusetts","Medical School:University of Cincinnati College of Medicine in Ohio, Internship:(Tufts)Boston City Hospital inMassachusetts, Residency:(Tufts)Boston City Hospital in Massachusettsand Bostons Veteran Administration in Massachusetts, Fellowship:(Tufts)Boston City Hospital inMassachusetts",,"Pulmonary Disease, Sleep Medicine","Walnut Creek 130 La Casa Via Building 2 Suite 208 Walnut Creek, CA 94598 Ph: 925-944-0166 Fx: 925-944-6355 | Walnut Creek 1455 Montego Suite 102 Walnut Creek, CA 94598 Ph: 925-935-7667 Fx: 925-945-7667 | Brentwood 141 Sand Creek Rd, Suite B Brentwood, CA 94513 Ph: (925) 935-7667 Fx: (925) 945-7667",www.rmgmd.com
"Usha Chundru, MD, MBA",,"Bio Coming SoonMedical School:Temple University School of Medicine in Philadelphia, Pennsylvania","Medical School:Temple University School of Medicine in Philadelphia, Pennsylvania",,Diagnostic Radiology,"San Ramon 2242 Camino Ramon Suite 100 San Ramon, CA  94583 Ph: 925-327-0015 Fx: 925-327-0095 | Morgan Hill 16130 Juan Hernandez Drive Suite 106 Morgan Hill, CA 95037 Ph: 408-465-2555 Fx: 408-465-2550 | Walnut Creek 2637 Shadelands Drive Walnut Creek, CA 94598 Ph: (925) 350-4044 Fx:",www.bayradiology.com
"Jonathan L. Chin, MD",https://www.bassmedicalgroup.com/wp-content/uploads/2018/09/Dr.-Jonathan-Chin-Urologist.jpg,"Dr. Jonathan Chin, grew up in nearby Lafayette, California and graduated from Acalanes High School in 1991. Curious about how the other coast lives, he decided to attend Amherst College in central Massachusetts. At Amherst, he was elected to the Phi Beta Kappa and Sigma Xi academic honor societies and graduated summa cum laude in chemistry and mathematics in 1995.Dr. Chin attended medical school at the Division of Health Sciences and Technology, a joint program betweenHarvard Medical Schooland theMassachusetts Institute of Technology. Concurrent with his medical school curriculum, Dr. Chin spent several years studying the immunology of multiple sclerosis.After medical school, Dr. Chin fled the unrelenting East Coast winters and returned to California for his residency. Dr. Chin completed two years of general surgery training and four years ofurologytraining atUCLA. During residency, he conducted research exploring molecular markers for prostate cancer.Dr. Chin has been practicing in the Bay Area since 2007. He has offices in Antioch, Brentwood, and Walnut Creek and provides on-call coverage at Sutter Delta Medical Center.Dr. Chin offers a full range ofurologic servicesand care, including but not limited to treatment of kidney stones,BPH, urinary incontinence/overactive bladder, erectile dysfunction, and urinary tract infections. Dr. Chin also provides urologic oncology and performs laser prostate surgery andvasectomies.Each year technological and pharmaceutical advances bring exciting new treatment options. Dr. Chin works hard to stay up-to-date with these changes and offer the best care to his patients. As medicine advances, many surgeries become less invasive. Dr. Chin provides the latest in care, including:Medical School:Harvard Medical Schoolin Boston, MassachusettsResidency:UCLADepartment of Urology in Los Angeles, CaliforniaSutter Delta Medical CenterJohn Muir Health Walnut Creek Medical CenterJohn Muir Health Concord Medical Center","Medical School:Harvard Medical School, in Boston, Massachusetts, Residency:UCLA, Department of Urology in Los Angeles, California","Sutter Delta Medical Center, John Muir Health Walnut Creek Medical Center, John Muir Health Concord Medical Center","Urology, Female Reconstructive Surgery, Female Urology","Antioch 2350 Country Hills Drive Suite A Antioch, CA 94509 Ph: 925-779-9097 Fx: 925-779-0801 | Brentwood 2400 Balfour Road Suite 300 Brentwood, CA 94513 Ph: 925-779-9097 Fx: 925-779-0801 | Walnut Creek 2637 Shadelands Drive Walnut Creek, CA 94598 Ph: 925-779-9097 Fx: 925-779-0801",
"Richard Cherlin, MD",https://www.bassmedicalgroup.com/wp-content/uploads/2017/07/Richard_Cherlin.jpg,"Dr. Richard Cherlin was born and raised in Brooklyn, New York. Dr. Cherlin graduated Brooklyn College, summa cum laude, and then attended medical school atAlbert Einstein College of Medicine. Dr. Cherlin served as intern and first year resident at Bronx Municipal Hospital Center, then served as second year resident in medicine atStanford. Endocrine fellowship was atMassachusetts General Hospital, and he was a clinical instructor atHarvard Medical Schoolat that time. He has been in his own endocrine practice since July 1977. Board certifications include Internal Medicine, andEndocrinology and Metabolism. The practice specializes in thyroid disorders, diabetes, osteoporosis, parathyroid disease, and problems with estrogen or testosterone.Dr. Cherlin has served as chief of staff at Valley West General Hospital (now Mission Oaks Hospital), and he has been chairman of medicine, and chairman of the pharmacy committee at Good Samaritan Hospital.Dr. Cherlin is adjunct clinical professor of medicine at Stanford, and has donated his services teaching doctors and medical students for forty years. He attends the inpatient endocrine service at Santa Clara Valley Medical Center two months per year, and teaches 3rdand 4thyear Stanford medical students in his office. He has been elected to Phi Beta Kappa, Alpha Omega Alpha, and is named one of the top doctors in the country by Castle Connolly. He has been a principal investigator in over 120 clinical research studies, and continues to do research in diabetes and lipid disorders.Dr. Cherlin is married (Claudia), and has one son (Marc, a structural engineer), and one granddaughter (Alyssa). Personal interests include making New York style pizza from scratch, painting, and dancing Argentine tango. He and Claudia, have studied tango with many of the masters from Buenos Aires.Medical School:Albert Einstein College of Medicinein New YorkInternship:Bronx Municipal Hospital Center in New YorkResidency:Stanford University Medical Center in CaliforniaFellowship:Massachusetts General Hospital in BostonMission Oaks Hospital","Medical School:Albert Einstein College of Medicine, in New York, Internship:Bronx Municipal Hospital Center in New York, Residency:Stanford University Medical Center in California, Fellowship:Massachusetts General Hospital in Boston",Mission Oaks Hospital,Endocrinology,"Los Gatos 15899 Los Gatos Almaden Road, Suite 12 Los Gatos, CA 95032 Ph: 408-358-2663 Fx: 408-358-1683",
"Jennifer W. Cheng, DO",https://www.bassmedicalgroup.com/wp-content/uploads/2018/09/Dr.-Jennifer-W.-Cheng-Infectious-Disease-Specialist.jpg,"Bio Coming SoonMedical School:Philadelphia College of Osteopathic Medicine in PennsylvaniaInternship:Pennsylvania Hospital in PhiladelphiaResidency:Pennsylvania Hospital in PhiladelphiaFellowship:Rush University Medical Center in Chicago, IllinoisSutter Delta Medical Center","Medical School:Philadelphia College of Osteopathic Medicine in Pennsylvania, Internship:Pennsylvania Hospital in Philadelphia, Residency:Pennsylvania Hospital in Philadelphia, Fellowship:Rush University Medical Center in Chicago, Illinois",Sutter Delta Medical Center,Infectious Disease,"Walnut Creek 365 Lennon Lane Suite 200 Walnut Creek, CA 94598 Ph: 925-947-2334 Fx: 925-947-5889",www.iddoctors.com
"Brian T. Chin, MD, FACS",https://www.bassmedicalgroup.com/wp-content/uploads/2018/09/Dr.-Brian-Chin-General-Surgeon-1.jpg,"Dr. Brian Chin practices advanced laparoscopic,bariatric, andgeneral surgeryat BASS Medical Groups Walnut Creek and Brentwood offices. Dr. Chin is anexpert in advanced minimally invasive surgery, including robot-assisted surgery.Dr. Chin has special expertise in the treatment of:Dr. Brian Chin was born and raised in the Bay Area. After graduating from Acalanes High School in Lafayette he ventured cross-country to coastal Maine, where he graduated magna cum laude fromBowdoin Collegewith a bachelors degree in physics and mathematics. From there, he went on to earn a masters degree in applied physics fromColumbia University. He earned his medical degree at theUniversity of Michigan Medical School, then returned to California for his surgery residency at theUniversity of California at San Diego, where he won the Department of Medicines Halasz Award for surgical consultation and the Department of Surgerys Chairmans Prize for teaching and service excellence. Additionally, he served as administrative chief resident. Following residency, Dr. Chin completed a fellowship in bariatric and advanced laparoscopic surgery at theUniversity of California at San Francisco, working alongside world-renowned leaders at the forefront of laparoscopic surgery.Dr. Brian Chin is board certified in surgery by the American Board of Surgery and in advanced trauma life support by the American College of Surgeons. Dr. Chin also serves as a trauma surgeon at the John Muir Medical Center, which is certified as a level II trauma center by the American College of Surgeons and is Contra Costa Countys only trauma center. He sees patients in Walnut Creek and Brentwood.Medical School:University of Michigan Medical Schoolin Ann ArborResidency:University of California San DiegoFellowship:University of California San FranciscoJohn Muir Health Walnut Creek Medical Center","Medical School:University of Michigan Medical School, in Ann Arbor, Residency:University of California San Diego, Fellowship:University of California San Francisco",John Muir Health Walnut Creek Medical Center,"General Surgery, Advanced Laparoscopic, Bariatric Surgery","Walnut Creek 2637 Shadelands Drive Walnut Creek, CA 94598 Ph: 925-932-6330 Fx: 925-932-0139 | Brentwood 2400 Balfour Road Suite 300 Brentwood, CA 94513 Ph: 925-932-6330 Fx: 925-932-0139",
